"STRAT" "YEAR" "PROT" "NTOT"
"1" "INPR" 2011 0 203
"2" "MCPR" 2011 0 666
"3" "OFPR" 2011 0 766
"4" "FSLR" 2011 0 373
"5" "FMLR" 2011 0 542
"6" "FDLR" 2011 0 333
"7" "HRRF" 2011 0 356
"8" "INPR" 2012 0 264
"9" "MCPR" 2012 0 248
"10" "OFPR" 2012 0 867
"11" "FSLR" 2012 0 483
"12" "FMLR" 2012 0 354
"13" "FDLR" 2012 0 649
"14" "HRRF" 2012 0 364
"15" "INPR" 2013 0 418
"16" "MCPR" 2013 0 461
"17" "OFPR" 2013 0 905
"18" "FSLR" 2013 0 791
"19" "FMLR" 2013 0 678
"20" "FDLR" 2013 0 401
"21" "HRRF" 2013 0 907
"22" "INPR" 2011 1 248
"23" "MCPR" 2011 1 426
"24" "OFPR" 2011 1 333
"25" "FSLR" 2011 1 286
"26" "FMLR" 2011 1 346
"27" "FDLR" 2011 1 348
"28" "HRRF" 2011 1 332
"29" "INPR" 2012 1 473
"30" "MCPR" 2012 1 342
"31" "OFPR" 2012 1 108
"32" "FSLR" 2012 1 200
"33" "FMLR" 2012 1 181
"34" "FDLR" 2012 1 256
"35" "HRRF" 2012 1 329
"36" "INPR" 2013 1 209
"37" "MCPR" 2013 1 491
"38" "OFPR" 2013 1 444
"39" "FSLR" 2013 1 117
"40" "FMLR" 2013 1 197
"41" "FDLR" 2013 1 493
"42" "HRRF" 2013 1 461
