"STRAT" "YEAR" "PROT" "NTOT"
"1" "FDLR" 2030 0 1528
"2" "FMLR" 2030 0 5000
"3" "FSLR" 2030 0 1388
"4" "HRRF" 2030 0 173
"5" "INPR" 2030 0 385
"6" "MCPR" 2030 0 3075
"7" "OFPR" 2030 0 1755
"8" "FDLR" 2031 0 1528
"9" "FMLR" 2031 0 5000
"10" "FSLR" 2031 0 1388
"11" "HRRF" 2031 0 173
"12" "INPR" 2031 0 385
"13" "MCPR" 2031 0 3075
"14" "OFPR" 2031 0 1755
"15" "FDLR" 2030 1 1
"16" "FMLR" 2030 1 358
"17" "FSLR" 2030 1 131
"18" "HRRF" 2030 1 154
"19" "INPR" 2030 1 29
"20" "MCPR" 2030 1 58
"21" "OFPR" 2030 1 88
"22" "FDLR" 2031 1 1
"23" "FMLR" 2031 1 358
"24" "FSLR" 2031 1 131
"25" "HRRF" 2031 1 154
"26" "INPR" 2031 1 29
"27" "MCPR" 2031 1 58
"28" "OFPR" 2031 1 88
